location,population,HighestInfectionRate,Highest_InfectionRate_Count
Afghanistan,38928341,59745,0.153474302950645
Albania,2877800,131085,4.55504204600737
Algeria,43851043,122108,0.278460879482388
Andorra,77265,13232,17.1254772536077
Angola,32866268,26652,0.081092261524795
Anguilla,15002,NULL,NULL
Antigua and Barbuda,97928,1232,1.25806715137652
Argentina,45195777,2977363,6.58770176691508
Armenia,2963234,216064,7.29149301067685
Aruba,106766,NULL,NULL
Australia,25499881,29811,0.116906427916271
Austria,9006400,618870,6.87144697104281
Azerbaijan,10139175,319109,3.14728762448621
Bahamas,393248,10453,2.65811904955651
Bahrain,1701583,176934,10.3981997939566
Bangladesh,164689383,759132,0.460947746704473
Barbados,287371,3855,1.34147147763692
Belarus,9449321,358738,3.79644209356418
Belgium,11589616,990229,8.54410534395618
Belize,397621,12668,3.18594842827718
Benin,12123198,7821,0.0645126805649796
Bermuda,62273,NULL,NULL
Bhutan,771612,1074,0.139189126141118
Bolivia,11673029,303732,2.60199816174534
Bosnia and Herzegovina,3280815,198461,6.04913718085293
Botswana,2351625,46934,1.99581140700579
Brazil,212559409,14659011,6.89643007052207
Brunei,437483,224,0.051201989563023
Bulgaria,6948445,404380,5.81971937606184
Burkina Faso,20903278,13310,0.0636742237270155
Burundi,11890781,3995,0.0335974567187807
Cambodia,16718971,13402,0.0801604357110255
Cameroon,26545864,72250,0.272170459398119
Canada,37742157,1228367,3.25462850467185
Cape Verde,555988,23882,4.295416447837
Cayman Islands,65720,NULL,NULL
Central African Republic,4829764,6411,0.13273940507238
Chad,16425859,4817,0.0293257113676673
Chile,19116209,1198245,6.26821458166732
China,1439323774,102494,0.00712098291235478
Colombia,50882884,2859724,5.62020816272914
Comoros,869595,3834,0.440894899349697
Congo,5518092,10678,0.193508915762912
Costa Rica,5094114,250991,4.92707858520638
Cote d'Ivoire,26378275,46036,0.174522405274795
Croatia,4105268,332183,8.09162763551612
Cuba,11326616,106707,0.942090735661913
Curacao,164100,NULL,NULL
Cyprus,875899,65233,7.44754817621666
Czechia,10708982,1630758,15.2279460363273
Democratic Republic of Congo,89561404,29853,0.033332438602682
Denmark,5792203,251249,4.33771053949594
Djibouti,988002,11100,1.1234795071265
Dominica,71991,174,0.241696878776514
Dominican Republic,10847904,266561,2.45725810257908
Ecuador,17643060,381862,2.16437511406751
Egypt,102334403,227552,0.222361193625178
El Salvador,6486201,69198,1.06684945471163
Equatorial Guinea,1402985,7694,0.548402156829902
Eritrea,3546427,3671,0.103512633983443
Estonia,1326539,122019,9.19829722307448
Eswatini,1160164,18458,1.5909819646188
Ethiopia,114963583,257442,0.223933521626583
Faeroe Islands,48865,NULL,NULL
Falkland Islands,3483,NULL,NULL
Fiji,896444,117,0.0130515681961171
Finland,5540718,86808,1.56672835542253
France,68147687,5677835,8.33166208561121
Gabon,2225728,23075,1.03673943985968
Gambia,2416664,5898,0.244055441716349
Georgia,3989175,310310,7.77880138123798
Germany,83783945,3405365,4.06446008241794
Ghana,31072945,92562,0.297886151441391
Gibraltar,33691,NULL,NULL
Greece,10423056,345033,3.3102863497999
Greenland,56772,NULL,NULL
Grenada,112519,160,0.14219820652512
Guatemala,17915567,227671,1.27079985802291
Guernsey,67052,NULL,NULL
Guinea,13132792,22215,0.169156718540886
Guinea-Bissau,1967998,3734,0.189735965178826
Guyana,786559,13283,1.68874807865653
Haiti,11402533,13056,0.114500874498675
Honduras,9904608,212333,2.14377994565762
Hong Kong,7496988,NULL,NULL
Hungary,9660350,779348,8.06749237864052
Iceland,341250,6472,1.89655677655678
India,1380004385,19164969,1.38876145672537
Indonesia,273523621,1668368,0.609953902299356
Iran,83992953,2499077,2.97534127654733
Iraq,40222503,1065199,2.64826631997516
Ireland,4937796,248870,5.04010291231148
Isle of Man,85032,NULL,NULL
Israel,8655541,838481,9.68721654718059
Italy,60461828,4022653,6.65321101439407
Jamaica,2961161,45578,1.53919357981548
Japan,126476458,593264,0.469070694563569
Jersey,101073,NULL,NULL
Jordan,10203140,711373,6.97209878527591
Kazakhstan,18776707,375539,2.00002588313276
Kenya,53771300,159318,0.296288168595515
Kosovo,1932774,103638,5.36213752875401
Kuwait,4270563,273991,6.41580512920662
Kyrgyzstan,6524191,95275,1.46033431577953
Laos,7275556,757,0.0104047030907329
Latvia,1886202,118558,6.28554099719966
Lebanon,6825442,526578,7.71492893793545
Lesotho,2142252,10731,0.500921460220366
Liberia,5057677,2099,0.041501266292806
Libya,6871287,177508,2.58332973138802
Liechtenstein,38137,2926,7.67233919815402
Lithuania,2722291,247269,9.0831215325621
Luxembourg,625976,67205,10.7360346083556
