location,population,Cases_PostVaccination,New_Cases_Count
Falkland Islands,3483,NULL,NULL
Montserrat,4999,NULL,NULL
Saint Helena,6071,NULL,NULL
Nauru,10834,NULL,NULL
Anguilla,15002,NULL,NULL
Gibraltar,33691,NULL,NULL
Northern Cyprus,NULL,NULL,NULL
Turks and Caicos Islands,38718,NULL,NULL
Faeroe Islands,48865,NULL,NULL
Bermuda,62273,NULL,NULL
Cayman Islands,65720,NULL,NULL
Guernsey,67052,NULL,NULL
Greenland,56772,NULL,NULL
Isle of Man,85032,NULL,NULL
Jersey,101073,NULL,NULL
Tonga,105697,NULL,NULL
Aruba,106766,NULL,NULL
Curacao,164100,NULL,NULL
Macao,649342,NULL,NULL
Hong Kong,7496988,NULL,NULL
Samoa,198410,1,NULL
Micronesia (country),115021,1,NULL
Vanuatu,307150,2,NULL
Marshall Islands,59194,3,NULL
Saint Kitts and Nevis,53192,5,NULL
Solomon Islands,686878,5,NULL
Vatican,809,7,NULL
Fiji,896444,12,NULL
Dominica,71991,17,0.890207715133531
Brunei,437483,26,NULL
Grenada,112519,26,1.03092783505155
Taiwan,23816775,27,NULL
Monaco,39244,45,0.223370096328354
Bhutan,771612,57,NULL
Mauritius,1271767,62,NULL
Liechtenstein,38137,62,240
Antigua and Barbuda,97928,82,NULL
San Marino,33938,89,148.275862068966
New Zealand,4822233,89,250
Chad,16425859,91,NULL
Liberia,5057677,97,NULL
International,NULL,99,NULL
Iceland,341250,106,1.04166666666667
Vietnam,97338583,110,NULL
Laos,7275556,113,0.193775186487182
Suriname,586634,139,NULL
Niger,24206636,145,NULL
Sierra Leone,7976985,146,0.45662100456621
Sao Tome and Principe,219161,151,NULL
Guinea-Bissau,1967998,156,NULL
Timor,1318442,158,NULL
Saint Vincent and the Grenadines,110947,158,NULL
Burundi,11890781,166,NULL
Syria,17500657,172,NULL
Yemen,29825968,174,NULL
Tanzania,59734213,181,NULL
Barbados,287371,207,NULL
Eritrea,3546427,209,NULL
Tajikistan,9537642,211,NULL
Guyana,786559,214,25.5
Comoros,869595,234,NULL
Central African Republic,4829764,246,NULL
Gambia,2416664,248,NULL
Haiti,11402533,284,NULL
Mauritania,4649660,296,NULL
Andorra,77265,299,3.24367088607595
Bahamas,393248,310,NULL
Seychelles,98340,314,720
Burkina Faso,20903278,315,NULL
Guinea,13132792,315,4.33634992458522
Somalia,15893219,325,NULL
Trinidad and Tobago,1399491,328,NULL
South Sudan,11193729,348,NULL
Angola,32866268,355,NULL
Saint Lucia,183629,389,NULL
Togo,8278737,405,NULL
Mali,20250834,413,NULL
Djibouti,988002,415,NULL
Senegal,16743930,462,NULL
Maldives,540542,465,5.98489250435793
Nicaragua,6624554,480,NULL
Cape Verde,555988,491,NULL
