location,date,total_cases,population,Total_Cases_Count
United States,2020-01-22 00:00:00.000,1,331002647,3.02112387639003E-07
United States,2020-01-23 00:00:00.000,1,331002647,3.02112387639003E-07
United States,2020-01-24 00:00:00.000,2,331002647,6.04224775278006E-07
United States,2020-01-25 00:00:00.000,2,331002647,6.04224775278006E-07
United States,2020-01-26 00:00:00.000,5,331002647,1.51056193819501E-06
United States,2020-01-27 00:00:00.000,5,331002647,1.51056193819501E-06
United States,2020-01-28 00:00:00.000,5,331002647,1.51056193819501E-06
United States,2020-01-29 00:00:00.000,6,331002647,1.81267432583402E-06
United States,2020-01-30 00:00:00.000,6,331002647,1.81267432583402E-06
United States,2020-01-31 00:00:00.000,8,331002647,2.41689910111202E-06
United States,2020-02-01 00:00:00.000,8,331002647,2.41689910111202E-06
United States,2020-02-02 00:00:00.000,8,331002647,2.41689910111202E-06
United States,2020-02-03 00:00:00.000,11,331002647,3.32323626402903E-06
United States,2020-02-04 00:00:00.000,11,331002647,3.32323626402903E-06
United States,2020-02-05 00:00:00.000,11,331002647,3.32323626402903E-06
United States,2020-02-06 00:00:00.000,12,331002647,3.62534865166803E-06
United States,2020-02-07 00:00:00.000,12,331002647,3.62534865166803E-06
United States,2020-02-08 00:00:00.000,12,331002647,3.62534865166803E-06
United States,2020-02-09 00:00:00.000,12,331002647,3.62534865166803E-06
United States,2020-02-10 00:00:00.000,12,331002647,3.62534865166803E-06
United States,2020-02-11 00:00:00.000,13,331002647,3.92746103930704E-06
United States,2020-02-12 00:00:00.000,13,331002647,3.92746103930704E-06
United States,2020-02-13 00:00:00.000,14,331002647,4.22957342694604E-06
United States,2020-02-14 00:00:00.000,14,331002647,4.22957342694604E-06
United States,2020-02-15 00:00:00.000,14,331002647,4.22957342694604E-06
United States,2020-02-16 00:00:00.000,14,331002647,4.22957342694604E-06
United States,2020-02-17 00:00:00.000,14,331002647,4.22957342694604E-06
United States,2020-02-18 00:00:00.000,14,331002647,4.22957342694604E-06
United States,2020-02-19 00:00:00.000,14,331002647,4.22957342694604E-06
United States,2020-02-20 00:00:00.000,14,331002647,4.22957342694604E-06
United States,2020-02-21 00:00:00.000,16,331002647,4.83379820222404E-06
United States,2020-02-22 00:00:00.000,16,331002647,4.83379820222404E-06
United States,2020-02-23 00:00:00.000,16,331002647,4.83379820222404E-06
United States,2020-02-24 00:00:00.000,16,331002647,4.83379820222404E-06
United States,2020-02-25 00:00:00.000,16,331002647,4.83379820222404E-06
United States,2020-02-26 00:00:00.000,16,331002647,4.83379820222404E-06
United States,2020-02-27 00:00:00.000,17,331002647,5.13591058986305E-06
United States,2020-02-28 00:00:00.000,17,331002647,5.13591058986305E-06
United States,2020-02-29 00:00:00.000,25,331002647,7.55280969097507E-06
United States,2020-03-01 00:00:00.000,32,331002647,9.66759640444809E-06
United States,2020-03-02 00:00:00.000,55,331002647,1.66161813201452E-05
United States,2020-03-03 00:00:00.000,74,331002647,2.23563166852862E-05
United States,2020-03-04 00:00:00.000,107,331002647,3.23260254773733E-05
United States,2020-03-05 00:00:00.000,184,331002647,5.55886793255765E-05
United States,2020-03-06 00:00:00.000,237,331002647,7.16006358704437E-05
United States,2020-03-07 00:00:00.000,403,331002647,0.000121751292218518
