date,Global_New_Cases,Global_New_Deaths,Global_NewDeaths_Percentage
2020-01-01 00:00:00.000,NULL,NULL,NULL
2020-01-02 00:00:00.000,NULL,NULL,NULL
2020-01-03 00:00:00.000,NULL,NULL,NULL
2020-01-04 00:00:00.000,NULL,NULL,NULL
2020-01-05 00:00:00.000,NULL,NULL,NULL
2020-01-06 00:00:00.000,NULL,NULL,NULL
2020-01-07 00:00:00.000,NULL,NULL,NULL
2020-01-08 00:00:00.000,NULL,NULL,NULL
2020-01-09 00:00:00.000,NULL,NULL,NULL
2020-01-10 00:00:00.000,NULL,NULL,NULL
2020-01-11 00:00:00.000,NULL,NULL,NULL
2020-01-12 00:00:00.000,NULL,NULL,NULL
2020-01-13 00:00:00.000,NULL,NULL,NULL
2020-01-14 00:00:00.000,NULL,NULL,NULL
2020-01-15 00:00:00.000,NULL,NULL,NULL
2020-01-16 00:00:00.000,NULL,NULL,NULL
2020-01-17 00:00:00.000,NULL,NULL,NULL
2020-01-18 00:00:00.000,NULL,NULL,NULL
2020-01-19 00:00:00.000,NULL,NULL,NULL
2020-01-20 00:00:00.000,NULL,NULL,NULL
2020-01-21 00:00:00.000,NULL,NULL,NULL
2020-01-22 00:00:00.000,NULL,NULL,NULL
2020-01-23 00:00:00.000,98,1,1.02040816326531
2020-01-24 00:00:00.000,286,8,2.7972027972028
2020-01-25 00:00:00.000,492,16,3.2520325203252
2020-01-26 00:00:00.000,685,14,2.04379562043796
2020-01-27 00:00:00.000,809,26,3.21384425216316
2020-01-28 00:00:00.000,2651,49,1.8483591097699
2020-01-29 00:00:00.000,589,2,0.33955857385399
2020-01-30 00:00:00.000,2068,38,1.83752417794971
2020-01-31 00:00:00.000,1692,42,2.4822695035461
2020-02-01 00:00:00.000,2111,46,2.17906205589768
2020-02-02 00:00:00.000,4749,103,2.16887765845441
2020-02-03 00:00:00.000,3100,64,2.06451612903226
2020-02-04 00:00:00.000,4011,66,1.64547494390426
2020-02-05 00:00:00.000,3745,72,1.92256341789052
2020-02-06 00:00:00.000,3160,70,2.21518987341772
2020-02-07 00:00:00.000,3532,85,2.40656851642129
2020-02-08 00:00:00.000,2734,87,3.18215069495245
2020-02-09 00:00:00.000,3027,100,3.30360092500826
2020-02-10 00:00:00.000,2538,107,4.21591804570528
2020-02-11 00:00:00.000,2042,100,4.89715964740451
2020-02-12 00:00:00.000,378,5,1.32275132275132
2020-02-13 00:00:00.000,15153,253,1.66963637563519
2020-02-14 00:00:00.000,6484,152,2.34423195558297
2020-02-15 00:00:00.000,2076,143,6.88824662813102
2020-02-16 00:00:00.000,2113,104,4.9219119734974
2020-02-17 00:00:00.000,1936,98,5.06198347107438
2020-02-18 00:00:00.000,1794,140,7.80379041248606
2020-02-19 00:00:00.000,421,115,27.3159144893112
2020-02-20 00:00:00.000,547,123,22.4862888482633
2020-02-21 00:00:00.000,629,4,0.635930047694754
2020-02-22 00:00:00.000,1761,207,11.7546848381601
2020-02-23 00:00:00.000,323,10,3.09597523219814
2020-02-24 00:00:00.000,564,160,28.3687943262411
2020-02-25 00:00:00.000,853,80,9.37866354044549
2020-02-26 00:00:00.000,963,60,6.23052959501558
2020-02-27 00:00:00.000,1360,43,3.16176470588235
2020-02-28 00:00:00.000,1386,57,4.11255411255411
2020-02-29 00:00:00.000,1891,69,3.64886303543099
2020-03-01 00:00:00.000,2381,54,2.26795464090718
2020-03-02 00:00:00.000,1983,89,4.48814926878467
